"No","EventosPorEstado","Dia","Lugar","Ubicacion","lat","lon"
1,1,"domingo 14 de febrero","Texcoco","Km.00+860 Peñón
Autopista (15-D) Peñón-Texcoco","19.457978"," -99.034794"
2,2,"domingo 14 de febrero","Subestación Pirámides","Km. 0129+000 (M40D) Arco Norte de la Ciudad de México","19.7559646","-98.6280357"
3,3,"domingo 14 de febrero","Cuautitlán Iacalli","Km. 43+300 Carretera (57D) México-Palmillas","19.7156812","-99.2077423"
4,4,"domingo 14 de febrero","Chalco","Km 033+200 Autopista 5 De Mayo (150-D), Tramo: Cárcel de Mujeres -Río Frío Caseta De Cobro No. 7 ""San Marcos Huixtoco""","19.2913889"," -98.88138888"
5,5,"domingo 14 de febrero","Cuajimalpa","Km. 024+000 (15D) México-Toluca, Tramo: Santa Fe-La Marquesa","19.362130"," -99.287631"
6,6,"domingo 14 de febrero","Cuautitlán Iacalli","Km 001+300 Carretera Chamapa Lecheria","19.605024","-99.2063044"
7,7,"domingo 14 de febrero","Ecatepec","Caseta De Pirámides Km. 001+187 (132) México-Tulancingo","19.6116667"," -99.02517"
8,8,"domingo 14 de febrero","Ecatepec","Caseta Revolución Km. 23+000 (85 D) México-Tizayuca","19.602043"," -99.038411"
9,9,"domingo 14 de febrero","Ecatepec","Caseta Ecatepec Km. 21+300 (85 D) México-Tizayuca","19.587679"," -99.041920"
10,10,"domingo 14 de febrero","Ecatepec","Caseta Tepexpan Km 009+000 (132) México - Pirámides","19.616021","-98.9481611"
11,11,"domingo 14 de febrero","Tlalpan","Km 23+350 Autopista Miguel Alemán, Col. San Andrés
Totoltepec, Delegación Tlalpan, C.P. 14400","19.24168"," -99.1482"
12,1,"Lunes 15 de febrero","Tuxtla Gutiérrez","Aeropuerto Tuxtla Gutiérrez","16.563611"," -93.022500"
13,2,"Lunes 15 de febrero","Tuxtla Gutiérrez","Caseta de Peaje “Chiapa de corzo” km 089+000, (145-D) Las Choapas-Ocozocoautla","16.730627","-93.009508"
14,3,"Lunes 15 de febrero","Tuxtla Gutiérrez","Caseta de Peaje “Ocozocoautla” km 001+300, (190-D) México- Cd. Cuauhtémoc","16.863078","-93.406705"
15,4,"Lunes 15 de febrero","Tuxtla Gutiérrez","(195) Villahermosa-Tuxtla Gutiérrez","16.774952","-92.908197"
16,5,"Lunes 15 de febrero","Tuxtla Gutiérrez","(190-D) Tuxtla Gutiérrez.,-San Cristóbal","16.690223","-92.788903"
17,6,"Lunes 15 de febrero","Tuxtla Gutiérrez","(190) México-Cd. Cuauhtémoc","16.610698","-92.993114"
