LATITUDE,LONGITUDE,NAME,DESCRIPTION,ICON,CLUES,NOMRBE DE LA INSTITUCION DE SALUD,CLAVE DE LA INSTITUCION DE SALUD,NOMBRE DE LA ENTIDAD,CLAVE ENTIDAD,NOMBRE DEL MUNICIPIO
16.6544,-92.4449,CSIMO003846,"CSIMO003846
SAN JOSÉ YASHITINÍN
IMSS-PROSPERA
DOMICILIO CONOCIDO 
UNIDAD DE CONSULTA EXTERNA",160,CSIMO003846,INSTITUTO MEXICANO DEL SEGURO SOCIAL. PROSPERA,IMSS-PROSPERA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.7417,-92.5199,CSIMO003851,"CSIMO003851
LA CANDELARIA (SAN CRISTÓBAL DE LAS CASAS)
IMSS-PROSPERA
DOMICILIO CONOCIDO 
UNIDAD DE CONSULTA EXTERNA",160,CSIMO003851,INSTITUTO MEXICANO DEL SEGURO SOCIAL. PROSPERA,IMSS-PROSPERA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.6992,-92.5343,CSSSA008935,"CSSSA008935
CORAZÓN DE MARÍA
SSA
NO DISPONIBLE 
UNIDAD DE CONSULTA EXTERNA",186,CSSSA008935,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.7275,-92.5374,CSSSA005831,"CSSSA005831
SAN ANTONIO LAS ROSAS
SSA
ABAJO DE LA ESCUELA 
UNIDAD DE CONSULTA EXTERNA",186,CSSSA005831,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.6469,-92.5463,CSSSA005814,"CSSSA005814
MITZITÓN
SSA
CENTRO DE LA COMUNIDAD 
UNIDAD DE CONSULTA EXTERNA",186,CSSSA005814,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.6886,-92.6243,CSSSA005826,"CSSSA005826
SAN ANTONIO LOS BAÑOS
SSA
PARTE POSTERIOR DE LA ESCUELA 
UNIDAD DE CONSULTA EXTERNA",186,CSSSA005826,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.7315,-92.6385,CSSSA019090,"CSSSA019090
CLÍNICA DE LA MUJER SAN CRISTÓBAL DE LAS CASAS
SSA
A ESPALDA DE ELÉCTRICA D´ARCIA 
UNIDAD DE CONSULTA EXTERNA",186,CSSSA019090,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.7314,-92.6387,CSSSA005773,"CSSSA005773
HOSPITAL DE LA MUJER SAN CRISTÓBAL DE LAS CASAS
SSA
AV. INSURGENTES  24
UNIDAD DE HOSPITALIZACIÓN",186,CSSSA005773,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.6483,-92.6396,CSSSA005790,"CSSSA005790
EL MANZANILLO
SSA
NO DISPONIBLE 
UNIDAD DE CONSULTA EXTERNA",186,CSSSA005790,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.7537,-92.6404,CSSSA018706,"CSSSA018706
SAN CRISTÓBAL (U.N.E.M.E. CAPA NUEVA VIDA)
SSA
19 DE JULIO SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,CSSSA018706,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.7188,-92.6407,CSSSA005785,"CSSSA005785
SAN CRISTÓBAL DE LAS CASAS, CHIAPAS
SSA
NO DISPONIBLE SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,CSSSA005785,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.7241,-92.6425,CSIST000193,"CSIST000193
SAN CRISTOBAL DE LAS CASAS
ISSSTE
JOSÉ MARÍA MORELOS 57
UNIDAD DE HOSPITALIZACIÓN",157,CSIST000193,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,ISSSTE,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.736,-92.6432,CSSME000083,"CSSME000083
CLÍNICA HOSPITAL SAN CRISTOBAL
ESTATAL
DIEGO DE MAZARIEGOS 8
UNIDAD DE HOSPITALIZACIÓN",182,CSSME000083,SERVICIOS MÉDICOS ESTATALES,ESTATAL,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.7204,-92.6441,CSSSA018764,"CSSSA018764
HOSPITAL DE LAS CULTURAS SAN CRISTOBAL DE LAS CASAS
SSA
EJE VÍAL ESQUINA BOULEVARD JAVIER LÓPEZ MORENO 1
UNIDAD DE HOSPITALIZACIÓN",186,CSSSA018764,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.7307,-92.6442,CSIMS000181,"CSIMS000181
UMF 17 S.CRISTOBAL
IMSS
DIAGONAL CENTENARIO SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",162,CSIMS000181,INSTITUTO MEXICANO DEL SEGURO SOCIAL,IMSS,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.7301,-92.6499,CSIMO003863,"CSIMO003863
SAN FELIPE ECATEPEC
IMSS-PROSPERA
CARRETERA PANAMERICANA KM.1169 
UNIDAD DE HOSPITALIZACIÓN",160,CSIMO003863,INSTITUTO MEXICANO DEL SEGURO SOCIAL. PROSPERA,IMSS-PROSPERA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.7455,-92.6556,CSSSA018694,"CSSSA018694
SAN CRISTÓBAL (U.N.E.M.E. ENFERMEDADES CRÓNICAS)
SSA
19 DE JULIO SIN NÚMERO
UNIDAD DE CONSULTA EXTERNA",186,CSSSA018694,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.7058,-92.6954,CSSSA005802,"CSSSA005802
ZACUALPA ECATEPEC
SSA
FRENTE A LA ESCUELA 
UNIDAD DE CONSULTA EXTERNA",186,CSSSA005802,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,SAN CRISTÓBAL DE LAS CASAS
16.6743,-93.0709,CSSSA009162,"CSSSA009162
UNIDAD DE ATENCIÓN A LA SALUD MENTAL SAN AGUSTÍN
SSA
NO DISPONIBLE 
UNIDAD DE HOSPITALIZACIÓN",186,CSSSA009162,SECRETARÍA DE SALUD,SSA,CHIAPAS,7,TUXTLA GUTIÉRREZ
